month,window_n,rmse,bias_pct,coverage,drift_share,t1_drift,t2_performance,t3_bias,t4_interval,retrain
2010-01,10,18719.11564957267,4.296389862801229,0.8,,False,False,False,False,False
2010-02,25,15404.618062984397,1.8567445338407418,0.84,,False,False,False,False,False
2010-03,46,33431.347122656356,-1.4644064384176678,0.7608695652173914,0.8095238095238095,True,False,False,False,True
2010-04,75,28890.252393902585,-2.690337827452996,0.7733333333333333,0.6666666666666666,True,False,False,False,True
2010-05,108,27840.06730541343,-4.697090166753169,0.7777777777777778,0.42857142857142855,True,False,False,False,True
2010-06,123,24340.35487283538,-5.646550139222596,0.7479674796747967,0.42857142857142855,True,False,True,False,True
2010-07,90,26215.582596928,-6.342753624207958,0.7333333333333333,0.5238095238095238,True,False,True,False,True
